ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Grammage,Unit,Link,Scraping_Date,Discount,Actual_Price (CHF),Regular_Price/Unit,Actual_Price/Unit
1,Migros,Pasta,Agnesi  lasagne  with eggs,Agnesi,3.95,0.5,kg,https://www.migros.ch/en/product/104066400000,19/10/2024,no discount,3.95,7.9,7.9
2,Migros,Pasta,M-Classic  tortellini  with raw ham,M-Classic,2.5,0.25,kg,https://www.migros.ch/en/product/104075000000,19/10/2024,12%,2.2,10.0,8.8
3,Migros,Pasta,M-Classic  älplermagronen  with eggs,M-Classic,1.9,0.5,kg,https://www.migros.ch/en/product/104074500000,19/10/2024,16%,1.6,3.8,3.2
4,Migros,Pasta,Garofalo  orecchiette,Garofalo,2.95,0.5,kg,https://www.migros.ch/en/product/104126400000,19/10/2024,no discount,2.95,5.9,5.9
5,Migros,Pasta,Garofalo  rigatoni,Garofalo,2.95,0.5,kg,https://www.migros.ch/en/product/104125200000,19/10/2024,no discount,2.95,5.9,5.9
6,Migros,Pasta,Garofalo  spaghetti,Garofalo,2.95,0.5,kg,https://www.migros.ch/en/product/104125000000,19/10/2024,no discount,2.95,5.9,5.9
7,Migros,Pasta,Agnesi  lasagne  spinach from eggs,Agnesi,3.95,0.5,kg,https://www.migros.ch/en/product/104066600000,19/10/2024,no discount,3.95,7.9,7.9
8,Migros,Pasta,Garofalo  farfalle,Garofalo,2.95,0.5,kg,https://www.migros.ch/en/product/104125500000,19/10/2024,no discount,2.95,5.9,5.9
9,Migros,Pasta,Garofalo  linguine,Garofalo,2.95,0.5,kg,https://www.migros.ch/en/product/104126800000,19/10/2024,no discount,2.95,5.9,5.9
10,Migros,Pasta,M-Classic  trivelli  with eggs,M-Classic,2.95,0.5,kg,https://www.migros.ch/en/product/104047500000,19/10/2024,10%,2.65,5.9,5.3
11,Migros,Pasta,Garofalo  penne rigate,Garofalo,2.95,0.5,kg,https://www.migros.ch/en/product/104125100000,19/10/2024,no discount,2.95,5.9,5.9
12,Migros,Pasta,M-Classic  spiraloni,M-Classic,2.95,0.5,kg,https://www.migros.ch/en/product/104047400000,19/10/2024,10%,2.65,5.9,5.3
13,Migros,Pasta,Alnatura Bio  spaghettini  spelt,Alnatura Bio,3.3,0.5,kg,https://www.migros.ch/en/product/104161300000,19/10/2024,no discount,3.3,6.6,6.6
14,Migros,Pasta,Agnesi  linguine N°10,Agnesi,2.4,0.5,kg,https://www.migros.ch/en/product/104135500000,19/10/2024,no discount,2.4,4.8,4.8
15,Migros,Pasta,M-Classic  macaroni  large with eggs,M-Classic,1.75,0.5,kg,https://www.migros.ch/en/product/104055200000,19/10/2024,17%,1.45,3.5,2.9
16,Migros,Pasta,Demeter  spaghetti,Demeter,3.5,0.5,kg,https://www.migros.ch/en/product/104164400000,19/10/2024,no discount,3.5,7.0,7.0
17,Migros,Pasta,You  fusilli  whole grain rice,You,3.6,0.34,kg,https://www.migros.ch/en/product/104163500000,19/10/2024,no discount,3.6,10.59,10.59
18,Migros,Pasta,Agnesi  spaghetti N°3,Agnesi,2.5,0.5,kg,https://www.migros.ch/en/product/104135100000,19/10/2024,no discount,2.5,5.0,5.0
19,Migros,Pasta,Agnesi  spaghettini N°2,Agnesi,2.5,0.5,kg,https://www.migros.ch/en/product/104137000000,19/10/2024,no discount,2.5,5.0,5.0
20,Migros,Pasta,Alnatura Bio  curls  spelt,Alnatura Bio,2.95,0.5,kg,https://www.migros.ch/en/product/104161000000,19/10/2024,no discount,2.95,5.9,5.9
21,Migros,Pasta,Garofalo  radiatori,Garofalo,2.95,0.5,kg,https://www.migros.ch/en/product/104126000000,19/10/2024,no discount,2.95,5.9,5.9
22,Migros,Pasta,M-Classic  penne  with eggs,M-Classic,1.9,0.5,kg,https://www.migros.ch/en/product/104063100000,19/10/2024,16%,1.6,3.8,3.2
23,Migros,Pasta,Garofalo  lumaca rigata,Garofalo,2.95,0.5,kg,https://www.migros.ch/en/product/104126200000,19/10/2024,no discount,2.95,5.9,5.9
24,Migros,Pasta,Garofalo  bucatini,Garofalo,2.95,0.5,kg,https://www.migros.ch/en/product/104128600000,19/10/2024,no discount,2.95,5.9,5.9
25,Migros,Pasta,Agnesi  spaghettoni N°4,Agnesi,2.5,0.5,kg,https://www.migros.ch/en/product/104135300000,19/10/2024,no discount,2.5,5.0,5.0
26,Migros,Pasta,You  penne  oats,You,3.6,0.34,kg,https://www.migros.ch/en/product/104164000000,19/10/2024,no discount,3.6,10.59,10.59
27,Migros,Pasta,You  spaghetti  whole grain rice,You,3.6,0.4,kg,https://www.migros.ch/en/product/104163900000,19/10/2024,no discount,3.6,9.0,9.0
28,Migros,Pasta,Tradition IP-SUISSE  tagliatelle  spelt,Tradition IP-SUISSE,5.6,0.5,kg,https://www.migros.ch/en/product/104147500000,19/10/2024,no discount,5.6,11.2,11.2
29,Migros,Pasta,M-Classic  macaroni  with eggs,M-Classic,1.75,0.5,kg,https://www.migros.ch/en/product/104055100000,19/10/2024,17%,1.45,3.5,2.9
30,Migros,Pasta,Tradition IP-SUISSE  macaroni  spelt,Tradition IP-SUISSE,3.3,0.5,kg,https://www.migros.ch/en/product/104147400000,19/10/2024,no discount,3.3,6.6,6.6
31,Migros,Pasta,Alnatura Bio  tortelloni  spelt with ricotta/spinach,Alnatura Bio,3.95,0.25,kg,https://www.migros.ch/en/product/104162200000,19/10/2024,no discount,3.95,15.8,15.8
32,Migros,Pasta,M-Classic  spaghetti 1.8mm  with eggs,M-Classic,2.45,0.75,kg,https://www.migros.ch/en/product/104041100000,19/10/2024,12%,2.15,3.27,2.87
33,Migros,Pasta,Agnesi  pennette rigatte N°87,Agnesi,2.5,0.5,kg,https://www.migros.ch/en/product/104138700000,19/10/2024,no discount,2.5,5.0,5.0
34,Migros,Pasta,Garofalo  fusilli bucati corti,Garofalo,2.95,0.5,kg,https://www.migros.ch/en/product/104126100000,19/10/2024,no discount,2.95,5.9,5.9
35,Migros,Pasta,Garofalo  linguine  quinoa gluten free,Garofalo,3.5,0.4,kg,https://www.migros.ch/en/product/104129600000,19/10/2024,no discount,3.5,8.75,8.75
36,Migros,Pasta,Agnesi  tortiglioni N°46,Agnesi,2.5,0.5,kg,https://www.migros.ch/en/product/104137500000,19/10/2024,no discount,2.5,5.0,5.0
37,Migros,Pasta,Agnesi  linguine N°10,Agnesi,3.4,1.0,kg,https://www.migros.ch/en/product/104146800000,19/10/2024,no discount,3.4,3.4,3.4
38,Migros,Pasta,Demeter  fusilli,Demeter,3.5,0.5,kg,https://www.migros.ch/en/product/104164500000,19/10/2024,no discount,3.5,7.0,7.0
39,Migros,Pasta,Garofalo  sigarette,Garofalo,2.95,0.5,kg,https://www.migros.ch/en/product/104129000000,19/10/2024,no discount,2.95,5.9,5.9
40,Migros,Pasta,Agnesi  penne rigate N°19,Agnesi,2.5,0.5,kg,https://www.migros.ch/en/product/104146100000,19/10/2024,no discount,2.5,5.0,5.0
41,Migros,Pasta,Garofalo  gnoccho sardo  quinoa gluten free,Garofalo,3.5,0.4,kg,https://www.migros.ch/en/product/104129400000,19/10/2024,no discount,3.5,8.75,8.75
42,Migros,Pasta,Agnesi  fusilli N°78,Agnesi,2.5,0.5,kg,https://www.migros.ch/en/product/104137800000,19/10/2024,no discount,2.5,5.0,5.0
43,Migros,Pasta,Migros Bio  spaghetti  with eggs,Migros Bio,3.2,0.5,kg,https://www.migros.ch/en/product/104044500000,19/10/2024,no discount,3.2,6.4,6.4
44,Migros,Pasta,Alnatura Bio  spaghetti No.3,Alnatura Bio,1.5,0.5,kg,https://www.migros.ch/en/product/104161700000,19/10/2024,no discount,1.5,3.0,3.0
45,Migros,Pasta,M-Classic  spiral-nudeln  with eggs,M-Classic,1.9,0.5,kg,https://www.migros.ch/en/product/104048100000,19/10/2024,16%,1.6,3.8,3.2
46,Migros,Pasta,M-Classic  swabian spätzle  with eggs,M-Classic,2.7,0.5,kg,https://www.migros.ch/en/product/104065600000,19/10/2024,11%,2.4,5.4,4.8
47,Migros,Pasta,Aha!  lasagne  gluten free,Aha!,2.45,0.25,kg,https://www.migros.ch/en/product/104168000000,19/10/2024,no discount,2.45,9.8,9.8
48,Migros,Pasta,Alnatura Bio  tortellini  with vegetables,Alnatura Bio,2.95,0.25,kg,https://www.migros.ch/en/product/104161800000,19/10/2024,no discount,2.95,11.8,11.8
49,Migros,Pasta,Migros Bio  spaghettini  wholemeal semolina,Migros Bio,2.25,0.5,kg,https://www.migros.ch/en/product/104131400000,19/10/2024,no discount,2.25,4.5,4.5
50,Migros,Pasta,Tradition IP-SUISSE  5-grain quadri  spelt,Tradition IP-SUISSE,3.95,0.5,kg,https://www.migros.ch/en/product/104115100000,19/10/2024,no discount,3.95,7.9,7.9
51,Migros,Pasta,Da Emilio  fregola sarda,Da Emilio,3.95,0.5,kg,https://www.migros.ch/en/product/104131200000,19/10/2024,no discount,3.95,7.9,7.9
52,Migros,Pasta,M-Classic  pasta letters  with eggs,M-Classic,2.2,0.5,kg,https://www.migros.ch/en/product/104075600000,19/10/2024,14%,1.9,4.4,3.8
53,Migros,Pasta,Agnesi  tagliolini,Agnesi,3.0,0.5,kg,https://www.migros.ch/en/product/104138200000,19/10/2024,no discount,3.0,6.0,6.0
54,Migros,Pasta,You  spaghetti  yellow lentils,You,2.6,0.25,kg,https://www.migros.ch/en/product/104105400000,19/10/2024,no discount,2.6,10.4,10.4
55,Migros,Pasta,Migros Bio  penne  wholemeal semolina,Migros Bio,2.25,0.5,kg,https://www.migros.ch/en/product/104131000000,19/10/2024,no discount,2.25,4.5,4.5
56,Migros,Pasta,M-Classic  schnäggli  with eggs,M-Classic,1.9,0.5,kg,https://www.migros.ch/en/product/104057100000,19/10/2024,16%,1.6,3.8,3.2
57,Migros,Pasta,Garofalo  fusillone,Garofalo,3.1,0.5,kg,https://www.migros.ch/en/product/104126600000,19/10/2024,no discount,3.1,6.2,6.2
58,Migros,Pasta,Migros Bio  macaroni  wholemeal semolina,Migros Bio,2.5,0.5,kg,https://www.migros.ch/en/product/104155800000,19/10/2024,no discount,2.5,5.0,5.0
59,Migros,Pasta,Garofalo Bio  radiatori  wholemeal,Garofalo Bio,3.1,0.5,kg,https://www.migros.ch/en/product/104127800000,19/10/2024,no discount,3.1,6.2,6.2
60,Migros,Pasta,Da Emilio  cannelloni,Da Emilio,3.95,0.5,kg,https://www.migros.ch/en/product/104134000000,19/10/2024,no discount,3.95,7.9,7.9
