ID,Competitor,Category,Description,Brand,Price,Discount,Regular Price,Grammage,Unit,Price per Kg,Regular Price per Kg,Discounted Price Difference,Product Link,Scraping Date,Var Price per Kg vs Overall Mean (%),Var Price per Kg vs Competitor Mean (%),Abs Diff Price per Kg vs Overall Mean,Abs Diff Price per Kg vs Competitor Mean
1,Migros,Rice,Basmati rice,M-Classic Basmati,3.6,20%,4.5,1.0,kg,3.6,4.5,0.9,https://www.migros.ch/en/product/104402500000,07/11/2024,-54.1,-56.97,-4.24,-4.77
2,Migros,Rice,Long grain rice Parboiled,M-Classic,1.95,20%,2.44,1.0,kg,1.95,2.44,0.49,https://www.migros.ch/en/product/104404000000,07/11/2024,-75.14,-76.69,-5.89,-6.42
3,Migros,Rice,Jasmine rice,M-Classic,2.4,20%,3.0,1.0,kg,2.4,3.0,0.6,https://www.migros.ch/en/product/104402400000,07/11/2024,-69.4,-71.31,-5.44,-5.97
4,Migros,Rice,Long grain rice court,M-Budget,1.6,No Discount,1.6,0.25,kg,6.4,6.4,0.0,https://www.migros.ch/en/product/104410000000,07/11/2024,-18.4,-23.5,-1.44,-1.97
5,Migros,Rice,Risotto d'Italia,M-Classic,2.4,20%,3.0,1.0,kg,2.4,3.0,0.6,https://www.migros.ch/en/product/104400700000,07/11/2024,-69.4,-71.31,-5.44,-5.97
6,Migros,Rice,Basmati rice Cooking bag,Mister Rice,4.8,No Discount,4.8,0.5,kg,9.6,9.6,0.0,https://www.migros.ch/en/product/104413100000,07/11/2024,22.4,14.76,1.76,1.23
7,Migros,Rice,Jasmine rice,Mister Rice Bio,4.5,No Discount,4.5,1.0,kg,4.5,4.5,0.0,https://www.migros.ch/en/product/104412900000,07/11/2024,-42.63,-46.21,-3.34,-3.87
8,Migros,Rice,Basmati rice,Mister Rice Bio,5.5,No Discount,5.5,1.0,kg,5.5,5.5,0.0,https://www.migros.ch/en/product/104413000000,07/11/2024,-29.88,-34.25,-2.34,-2.87
9,Migros,Rice,Long grain Wholemeal rice,Mister Rice Bio,3.95,No Discount,3.95,0.5,kg,7.9,7.9,0.0,https://www.migros.ch/en/product/104441400000,07/11/2024,0.72,-5.57,0.06,-0.47
10,Migros,Rice,Risotto With saffron,Subito Carnaroli,4.3,No Discount,4.3,0.25,kg,17.2,17.2,0.0,https://www.migros.ch/en/product/157257700000,07/11/2024,119.3,105.6,9.36,8.83
11,Migros,Rice,Risotto Asparagus,M-Budget,1.85,No Discount,1.85,0.25,kg,7.4,7.4,0.0,https://www.migros.ch/en/product/157212800000,07/11/2024,-5.65,-11.54,-0.44,-0.97
12,Migros,Rice,Whole black rice,Sélection,3.2,No Discount,3.2,0.25,kg,12.8,12.8,0.0,https://www.migros.ch/en/product/104430700000,07/11/2024,63.2,53.01,4.96,4.43
13,Migros,Rice,Milanese risotto,Knorr aha!,3.95,No Discount,3.95,0.25,kg,15.8,15.8,0.0,https://www.migros.ch/en/product/157262500000,07/11/2024,101.45,88.87,7.96,7.43
14,Migros,Rice,Risotto Tomato,Knorr,3.95,No Discount,3.95,0.25,kg,15.8,15.8,0.0,https://www.migros.ch/en/product/157262600000,07/11/2024,101.45,88.87,7.96,7.43
15,Migros,Rice,Risotto rice,Alnatura,3.5,No Discount,3.5,0.5,kg,7.0,7.0,0.0,https://www.migros.ch/en/product/104466100000,07/11/2024,-10.75,-16.32,-0.84,-1.37
16,Migros,Rice,Long grain rice Carolina,Mister Rice Bio,4.3,No Discount,4.3,1.0,kg,4.3,4.3,0.0,https://www.migros.ch/en/product/104403200000,07/11/2024,-45.18,-48.6,-3.54,-4.07
17,Migros,Rice,Red rice,Sélection Bio,3.2,No Discount,3.2,0.25,kg,12.8,12.8,0.0,https://www.migros.ch/en/product/104429800000,07/11/2024,63.2,53.01,4.96,4.43
18,Migros,Rice,Long grain rice Cooking bag,Mister Rice Bio,3.95,No Discount,3.95,0.32,kg,12.34,12.34,0.0,https://www.migros.ch/en/product/104440000000,07/11/2024,57.33,47.51,4.5,3.97
19,Migros,Rice,Rice Milk rice,M-Classic Originario,2.2,20%,2.75,1.0,kg,2.2,2.75,0.55,https://www.migros.ch/en/product/104401000000,07/11/2024,-71.95,-73.7,-5.64,-6.17
20,Migros,Rice,Risotto With tomatoes,Subito Tomato,2.7,No Discount,2.7,0.25,kg,10.8,10.8,0.0,https://www.migros.ch/en/product/157255100000,07/11/2024,37.7,29.1,2.96,2.43
21,Migros,Rice,Rice with lentils and quinoa,Mister Rice Bio,3.95,No Discount,3.95,0.5,kg,7.9,7.9,0.0,https://www.migros.ch/en/product/104412400000,07/11/2024,0.72,-5.57,0.06,-0.47
22,Migros,Rice,Risotto Allo zafferano,Da Emilio,3.4,No Discount,3.4,0.25,kg,13.6,13.6,0.0,https://www.migros.ch/en/product/104446500000,07/11/2024,73.4,62.57,5.76,5.23
23,Migros,Rice,Risotto Al funghi porcini,Da Emilio,3.4,No Discount,3.4,0.25,kg,13.6,13.6,0.0,https://www.migros.ch/en/product/104446400000,07/11/2024,73.4,62.57,5.76,5.23
24,Migros,Rice,Risotto with porcini mushrooms Vegetarian,Buon Gusto Risotto,3.7,No Discount,3.7,0.25,kg,14.8,14.8,0.0,https://www.migros.ch/en/product/157256500000,07/11/2024,88.7,76.91,6.96,6.43
25,Migros,Rice,Rice Red Thai Curry With coconut milk,Subito,2.95,No Discount,2.95,0.17,kg,17.35,17.35,0.0,https://www.migros.ch/en/product/157256900000,07/11/2024,121.21,107.4,9.51,8.98
26,Migros,Rice,Jasmine rice,Mister Rice Bio,4.7,No Discount,4.7,1.0,kg,4.7,4.7,0.0,https://www.migros.ch/en/product/104412000000,07/11/2024,-40.08,-43.82,-3.14,-3.67
27,Migros,Rice,Basmati rice,M-Budget,2.65,No Discount,2.65,1.0,kg,2.65,2.65,0.0,https://www.migros.ch/en/product/104431100000,07/11/2024,-66.21,-68.32,-5.19,-5.72
28,Migros,Rice,Rice with quinoa,Mister Rice Bio,3.95,No Discount,3.95,0.5,kg,7.9,7.9,0.0,https://www.migros.ch/en/product/104412500000,07/11/2024,0.72,-5.57,0.06,-0.47
