ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Unit,Link,Scraping_Date,Discount,Grammage
,lidl,Pasta Sauces,Bio gehackte Tomaten classic,Baresa,0.95,g,https://sortiment.lidl.ch/de/bio-gehackte-tomaten-classic-0133303,2024-11-01,no discount,pro 400g | 100g = 0.24 CHF
,lidl,Pasta Sauces,Bio Passierte Tomaten,Baresa,1.59,g,https://sortiment.lidl.ch/de/bio-passierte-tomaten-0150221,2024-11-01,no discount,pro 700g | 100g = 0.23 CHF
,lidl,Pasta Sauces,Weisse Bohnen an Tomatensauce,Freshona,1.29,g,https://sortiment.lidl.ch/de/weisse-bohnen-an-tomatensauce-0092961,2024-11-01,no discount,pro 420g (Abtropfgewicht) | 100g = 0.31 CHF
,lidl,Pasta Sauces,Geschälte Tomaten,Baresa,1.29,g,https://sortiment.lidl.ch/de/geschaelte-tomaten-0110541,2024-11-01,no discount,pro 800g | 100g = 0.27 CHF
,lidl,Pasta Sauces,Passierte Tomaten Rustica,Baresa,1.19,ml,https://sortiment.lidl.ch/de/passierte-tomaten-rustica-0133251,2024-11-01,no discount,pro 720ml | 100g = 0.17 CHF
,lidl,Pasta Sauces,Bio Tomatenmark,Baresa,1.39,g,https://sortiment.lidl.ch/de/bio-tomatenmark-0142043,2024-11-01,no discount,pro 200g | 100g = 0.70 CHF
,lidl,Pasta Sauces,Thomy Tomatenpüree,Thomy,3.39,g,https://sortiment.lidl.ch/de/thomy-tomatenpueree-5109239,2024-11-01,no discount,pro 300g | 100g = 1.13 CHF
,lidl,Pasta Sauces,Knorr Suprême Sauce,Knorr,3.89,g,https://sortiment.lidl.ch/de/knorr-supreme-sauce-0003432,2024-11-01,no discount,"pro 30g, 31g, 35g, 41g | 100g = 12.97, 11.12, 9.49 CHF"
,lidl,Pasta Sauces,Knorr Carbonara Sauce,Knorr,1.95,g,https://sortiment.lidl.ch/de/knorr-carbonara-sauce-0003888,2024-11-01,no discount,pro 28g | 100g = 6.97 CHF
,lidl,Pasta Sauces,Knorr Idéale / Béchamel Sauce,Knorr,1.95,g,https://sortiment.lidl.ch/de/knorr-ideale-bechamel-sauce-0003887,2024-11-01,no discount,pro 33g | 100g = 5.91 CHF
,lidl,Pasta Sauces,Knorr Rahm Sauce,Knorr,1.95,g,https://sortiment.lidl.ch/de/knorr-rahm-sauce-0003886,2024-11-01,no discount,pro 30g | 100g = 6.50 CHF
,lidl,Pasta Sauces,Knorr Curry Sauce,Knorr,1.95,g,https://sortiment.lidl.ch/de/knorr-curry-sauce-0003885,2024-11-01,no discount,pro 33g | 100g = 5.91 CHF
,lidl,Pasta Sauces,Knorr Jäger Sauce,Knorr,1.95,g,https://sortiment.lidl.ch/de/knorr-jaeger-sauce-0003884,2024-11-01,no discount,pro 30g | 100g = 6.50 CHF
,lidl,Pasta Sauces,Tomatensuppe,Kania,0.39,g,https://sortiment.lidl.ch/de/tomatensuppe-0150092,2024-11-01,no discount,pro 59g | 100g = 0.67 CHF
,lidl,Pasta Sauces,Passierte Tomaten,Freshona,0.95,g,https://sortiment.lidl.ch/de/passierte-tomaten-0029232,2024-11-01,no discount,pro 500g | 100g = 0.19 CHF
,lidl,Pasta Sauces,Tomatenpüree,Baresa,0.95,g,https://sortiment.lidl.ch/de/tomatenpueree-0028939,2024-11-01,no discount,pro 200g | 100g = 0.48 CHF
,lidl,Pasta Sauces,Gehackte Tomaten,Baresa,0.75,g,https://sortiment.lidl.ch/de/gehackte-tomaten-0029239,2024-11-01,no discount,pro 400g | 100g = 0.19 CHF
,lidl,Pasta Sauces,Kirschtomatensauce,Italiamo,1.49,g,https://sortiment.lidl.ch/de/kirschtomatensauce-6000017,2024-11-01,no discount,pro 330g | 100g = 0.46 CHF
,lidl,Pasta Sauces,Bio gehackte Tomaten gewürzt,Baresa,1.19,g,https://sortiment.lidl.ch/de/bio-gehackte-tomaten-gewuerzt-0126008,2024-11-01,no discount,pro 400g Abtropfgewicht | 100g = 0.30 CHF
,lidl,Pasta Sauces,Tomatensauce mit Basilikum,Baresa,1.19,g,https://sortiment.lidl.ch/de/tomatensauce-mit-basilikum-0029251,2024-11-01,no discount,pro 700g | 100g = 0.17 CHF
,lidl,Pasta Sauces,Bratensauce Paste/Granulat,Kania,3.99,g,https://sortiment.lidl.ch/de/bratensauce-paste-granulat-0112775,2024-11-01,no discount,pro 400g | 100g = 1.00 CHF
