ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Unit,Link,Scraping_Date,Discount,Grammage,Actual_Price (CHF),Regular_Price/Unit,Actual_Price/Unit,Distance_average_price
0,lidl,Pasta Sauces,Bio gehackte Tomaten classic,Baresa,0.95,Kg,https://sortiment.lidl.ch/de/bio-gehackte-tomaten-classic-0133303,2024-11-01,no discount,0.4,0.95,2.375,2.375,-84.03%
1,lidl,Pasta Sauces,Bio Passierte Tomaten,Baresa,1.59,Kg,https://sortiment.lidl.ch/de/bio-passierte-tomaten-0150221,2024-11-01,no discount,0.7,1.59,2.271,2.271,-84.73%
3,lidl,Pasta Sauces,Geschälte Tomaten,Baresa,1.29,Kg,https://sortiment.lidl.ch/de/geschaelte-tomaten-0110541,2024-11-01,no discount,0.8,1.29,1.612,1.612,-89.16%
4,lidl,Pasta Sauces,Passierte Tomaten Rustica,Baresa,1.19,L,https://sortiment.lidl.ch/de/passierte-tomaten-rustica-0133251,2024-11-01,no discount,0.72,1.19,1.653,1.653,-88.88%
5,lidl,Pasta Sauces,Bio Tomatenmark,Baresa,1.39,Kg,https://sortiment.lidl.ch/de/bio-tomatenmark-0142043,2024-11-01,no discount,0.2,1.39,6.95,6.95,-53.26%
13,lidl,Pasta Sauces,Tomatensuppe,Kania,0.39,Kg,https://sortiment.lidl.ch/de/tomatensuppe-0150092,2024-11-01,no discount,0.059,0.39,6.61,6.61,-55.54%
14,lidl,Pasta Sauces,Passierte Tomaten,Freshona,0.95,Kg,https://sortiment.lidl.ch/de/passierte-tomaten-0029232,2024-11-01,no discount,0.5,0.95,1.9,1.9,-87.22%
15,lidl,Pasta Sauces,Tomatenpüree,Baresa,0.95,Kg,https://sortiment.lidl.ch/de/tomatenpueree-0028939,2024-11-01,no discount,0.2,0.95,4.75,4.75,-68.05%
16,lidl,Pasta Sauces,Gehackte Tomaten,Baresa,0.75,Kg,https://sortiment.lidl.ch/de/gehackte-tomaten-0029239,2024-11-01,no discount,0.4,0.75,1.875,1.875,-87.39%
17,lidl,Pasta Sauces,Kirschtomatensauce,Italiamo,1.49,Kg,https://sortiment.lidl.ch/de/kirschtomatensauce-6000017,2024-11-01,no discount,0.33,1.49,4.515,4.515,-69.63%
