ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Grammage,Unit,Link,Scraping_Date,Discount
0,Mirgos,Pasta Sauces,Longobardi Pizza Sauce Basilikum,Longobardi,1.30,200,g,https://www.migros.ch//de/product/153220500000,2024-11-01,no discount
1,Mirgos,Pasta Sauces,Migros Bio Tomatensauce,Migros,3.10,400,g,https://www.migros.ch//de/product/153210200000,2024-11-01,no discount
2,Mirgos,Pasta Sauces,Salsa all' Italiana Tomatensauce Napoli,Salsa,1.55,250,ml,https://www.migros.ch//de/product/153224200000,2024-11-01,no discount
3,Mirgos,Pasta Sauces,Agnesi Tomatensauce Basilico,Agnesi,2.95,400,g,https://www.migros.ch//de/product/153221700000,2024-11-01,no discount
4,Mirgos,Pasta Sauces,Agnesi Tomatensauce mit Gemüse,Agnesi,4.40,400,g,https://www.migros.ch//de/product/153222000000,2024-11-01,no discount
5,Mirgos,Pasta Sauces,Agnesi Pesto alla Genovese,Agnesi,3.90,185,g,https://www.migros.ch//de/product/153225800000,2024-11-01,no discount
6,Mirgos,Pasta Sauces,Demeter Tomatensauce basilico,Demeter,4.50,340,g,https://www.migros.ch//de/product/153211700000,2024-11-01,no discount
7,Mirgos,Pasta Sauces,Salsa all' Italiana Tomatensauce Basilikum und Olivenöl,Salsa,1.35,250,ml,https://www.migros.ch//de/product/153224300000,2024-11-01,no discount
8,Mirgos,Pasta Sauces,Sélection Pesto Sauce Limone,Sélection,4.95,130,g,https://www.migros.ch//de/product/153236800000,2024-11-01,no discount
9,Mirgos,Pasta Sauces,Demeter Tomatensauce arrabbiata,Demeter,4.50,340,g,https://www.migros.ch//de/product/153211800000,2024-11-01,no discount
10,Mirgos,Pasta Sauces,Agnesi Tomatensauce Bolognese,Agnesi,4.–,400,g,https://www.migros.ch//de/product/153221800000,2024-11-01,no discount
11,Mirgos,Pasta Sauces,Sélection Pesto con basilico Genovese D.O.P,Sélection,4.95,90,g,https://www.migros.ch//de/product/153236500000,2024-11-01,no discount
12,Mirgos,Pasta Sauces,Agnesi Pesto Alla Calabrese,Agnesi,3.90,185,g,https://www.migros.ch//de/product/153223400000,2024-11-01,no discount
13,Mirgos,Pasta Sauces,Alnatura Pesto Basilico,Alnatura,2.70,130,g,https://www.migros.ch//de/product/153270300000,2024-11-01,no discount
14,Mirgos,Pasta Sauces,Agnesi Tomatensauce Napoletana,Agnesi,2.95,400,g,https://www.migros.ch//de/product/153222300000,2024-11-01,no discount
